Year,Rank_Encoded,Assigned_Encoded,Predicted_OTHOURS
2023,6,57,921.1925
2023,6,58,187.075
2023,6,59,722.38
2023,6,60,129.6325
2023,6,62,22.125
2023,6,66,25.7475
2023,6,67,10.37
2023,6,73,15.685
2023,6,74,270.38
2023,6,81,25.515
2023,6,86,6.62
2023,6,91,9.215
2023,6,92,147.1875
2023,6,95,28.6325
2023,6,100,33.2575
2023,6,111,307.9725
2023,6,117,26.555
2023,6,119,59.1125
2023,6,130,147.1
2023,6,137,305.5675
2023,6,145,125.945
2023,7,0,68.8575
2023,7,1,22.54
2023,7,2,19.8225
2023,7,3,11.825
2023,7,6,15.6225
2023,7,8,53.86
2023,7,9,124.2125
2023,7,10,39.75
2023,7,11,63.5075
2023,7,13,41.06
2023,7,26,601.84
2023,7,27,477.305
2023,7,28,68.325
2023,7,34,68.165
2023,7,35,38.2575
2023,7,41,18.3
2023,7,43,26.58
2023,7,44,72.595
2023,7,45,314.5025
2023,7,46,611.9925
2023,7,47,98.62
2023,7,48,35.42
2023,7,61,58.49
2023,7,62,32.22
2023,7,64,27.4375
2023,7,65,24.705
2023,7,66,10.43
2023,7,67,13.8
2023,7,68,21.49
2023,7,69,16.625
2023,7,81,48.6
2023,7,88,25.9425
2023,7,90,71.4575
2023,7,94,41.075
2023,7,95,55.68
2023,7,97,18.675
2023,7,99,30.0325
2023,7,100,104.705
2023,7,105,33.0
2023,7,117,16.2175
2023,7,130,57.3
2023,7,133,176.2075
2023,7,144,21.79
2023,7,145,20.7725
